symbol,open_ts,close_ts,side,entry,exit,pnl_abs,pnl_R,reason,entry_reason,fees
ADA_USDT,1608595200,1608681600,LONG,0.163942,0.126412,-3.4471194385819377,-1.0000000000000002,SL,breakout,0.01328308182161984
ADA_USDT,1609113600,1609200000,LONG,0.17893157142857144,0.18996292857142857,0.909306541566967,0.4271816999972336,SL,breakout,0.01546238446301499
ADA_USDT,1609632000,1609718400,LONG,0.19978121428571427,0.2316795357142857,2.37879656254324,1.0267188559736071,SL,breakout,0.016197497029786512
ADA_USDT,1609804800,1609891200,LONG,0.2436080714285714,0.33583367857142854,5.660889173051092,2.3574407288728216,SL,breakout,0.017839364268659876
ADA_USDT,1609977600,1610064000,LONG,0.3510129285714286,0.299369,-2.220820743578635,-1.0000000000000002,SL,breakout,0.01389653789715926
ADA_USDT,1610755200,1610841600,LONG,0.36176114285714284,0.37256485714285714,0.432739315365151,0.12501818422270736,SL,breakout,0.015223981648506829
ADA_USDT,1612137600,1612224000,LONG,0.4027122142857143,0.43512503571428574,1.1916910513995196,0.46850701811442713,SL,breakout,0.015603647349374444
ADA_USDT,1612483200,1612569600,LONG,0.46075357142857143,0.6460789285714286,6.015317699653519,2.5351067467878257,SL,breakout,0.018016667183418468
ADA_USDT,1612656000,1612742400,LONG,0.6744808571428571,0.6982311428571429,0.5129262632890593,0.24468974449546807,SL,breakout,0.015264095179234147
ADA_USDT,1612915200,1613001600,LONG,0.7360573571428572,0.9547968928571429,4.440430622861007,1.6747487756658974,SL,breakout,0.01722882972629365
ADA_USDT,1613779200,1613865600,LONG,1.007083357142857,1.0950248928571429,1.294190013761099,0.4474249601610645,SL,breakout,0.015654922468114608
ADA_USDT,1614297600,1614384000,LONG,1.2204812142857142,1.4050845357142858,2.25268365143386,0.6844303115288318,SL,breakout,0.01613440903023205
ADA_USDT,1615939200,1616025600,LONG,1.2924654285714285,1.4248855714285713,1.5210635169793976,0.7081994392109218,SL,breakout,0.015768415966472934
ADA_USDT,1617667200,1617753600,LONG,1.2980746428571428,1.169155,-1.5039958417810557,-1.0,SL,breakout,0.01425512964393144
ADA_USDT,1618272000,1618358400,LONG,1.3602607857142857,1.5297714642857143,1.8533100146474024,1.3696528180577323,SL,breakout,0.01593462231848294
ADA_USDT,1620172800,1620259200,LONG,1.4269895000000001,1.64559725,2.2817770203459786,1.1151038677837704,SL,breakout,0.016148962991668823
ADA_USDT,1620432000,1620518400,LONG,1.7179564285714286,1.7755410714285713,0.48753763347980994,0.28339397135073296,SL,breakout,0.015251394513996902
ADA_USDT,1620864000,1620950400,LONG,1.8560463571428572,1.9572413928571428,0.8024184696991672,0.34514542351698696,SL,breakout,0.015408913691695433
ADA_USDT,1621036800,1621123200,LONG,2.068378214285714,2.3661980357142856,2.1437268914016316,0.8566084736796151,SL,breakout,0.016079903397399516
DOGE_USDT,1620777600,1620864000,LONG,0.6891641,0.3646076,-7.075601859919865,-1.0,SL,breakout,0.011467933036558346
DOGE_USDT,1624147200,1624233600,SHORT,0.3338550153846154,0.23114093076923078,4.6022187142060185,0.4658873866188526,SL,breakout,0.012692544370711635
DOGE_USDT,1625702400,1625788800,SHORT,0.21812314285714285,0.20538085714285714,0.8617059302019431,0.3682437453554617,SL,breakout,0.014561866101848104
DOGE_USDT,1626220800,1626307200,SHORT,0.19322585714285714,0.18839364285714286,0.3603092726054855,0.1815793005341279,SL,breakout,0.014812439144125195
DOGE_USDT,1626393600,1626480000,SHORT,0.1787095714285714,0.17630192857142857,0.18718670936163678,0.09439357024839624,SL,breakout,0.014898957166735814
DOGE_USDT,1626739200,1626825600,SHORT,0.166704,0.195894,-2.642824917218545,-1.0000000000000004,SL,breakout,0.016313255830693926
DOGE_USDT,1630972800,1631059200,SHORT,0.26141692857142856,0.24552382142857143,0.897396173996273,0.3948983485522098,SL,breakout,0.014544029898052837
DOGE_USDT,1633219200,1633305600,SHORT,0.19982135714285715,0.236251,-2.751033189824195,-0.9999999999999999,SL,breakout,0.016367332928447872
DOGE_USDT,1635292800,1635379200,SHORT,0.2182112142857143,0.252543,-2.3761722971878165,-1.0,SL,breakout,0.016179996150518648
DOGE_USDT,1637107200,1637193600,SHORT,0.22794964285714286,0.22422660714285714,0.23011316526676562,0.12105324275677913,SL,breakout,0.014877504665034102
ENA_USDT,1738368000,1738454400,SHORT,0.6881999999999999,0.59795,1.953071599825631,0.5056022408963582,SL,breakout,0.014016455972101133
ENA_USDT,1738713600,1738800000,SHORT,0.5310871428571429,0.5237078571428572,0.19352440479232583,0.03695317809493143,SL,breakout,0.014895789902652511
ENA_USDT,1739232000,1739318400,SHORT,0.44754642857142857,0.4459410714285714,0.038832174235713834,0.010645352279455312,SL,breakout,0.014973097364200046
ENA_USDT,1743552000,1743638400,SHORT,0.3948021428571429,0.3256403571428571,2.6140270148881104,0.7817730410560745,SL,breakout,0.013686143420845523
ENA_USDT,1743811200,1743897600,SHORT,0.2955085714285714,0.28686142857142855,0.4241479942568742,0.16051445239989387,SL,breakout,0.01478053573500406
ENA_USDT,1744070400,1744156800,SHORT,0.2667835714285714,0.32553,-3.3196900979124346,-1.0000000000000002,SL,breakout,0.01665151928931156
ENA_USDT,1746403200,1746489600,SHORT,0.27617714285714284,0.26970285714285713,0.3368134840992322,0.14278512917454309,SL,breakout,0.014824181167366701
ENA_USDT,1748563200,1748649600,SHORT,0.33762000000000003,0.30596,1.3923142882530664,0.4711309523809527,SL,breakout,0.014296694508619158
ENA_USDT,1750377600,1750464000,SHORT,0.2793528571428571,0.25416214285714284,1.338305094171734,0.5336208200938114,SL,breakout,0.014323685610109079
ENA_USDT,1750636800,1750723200,SHORT,0.23723785714285714,0.27867,-2.6359682190568225,-0.9999999999999997,SL,breakout,0.016309829194930944
ENA_USDT,1754697600,1754784000,LONG,0.7093685714285715,0.7748914285714286,1.3698251463071778,0.5551440329218105,SL,breakout,0.015692758952629903
ENA_USDT,1755043200,1755129600,LONG,0.8183035714285715,0.69825,-2.2145543371522094,-1.0,SL,breakout,0.013899672667757774
HBAR_USDT,1641945600,1642032000,LONG,0.278214,0.28515199999999996,0.35887753671633765,0.18039521580863055,SL,breakout,0.01518703228450042
HBAR_USDT,1642723200,1642809600,SHORT,0.24987220000000002,0.2102101,2.3671336097012796,1.3369096976438457,SL,breakout,0.013809528430933894
HBAR_USDT,1643587200,1643673600,SHORT,0.1990637692307692,0.23275723076923077,-2.5551640187585827,-1.0,SL,breakout,0.01626944728573642
HBAR_USDT,1645315200,1645401600,SHORT,0.21911607142857142,0.20457267857142858,0.9810929240862223,0.496210321086943,SL,breakout,0.014502202436738519
HBAR_USDT,1645660800,1645747200,SHORT,0.19176814285714286,0.227346,-2.7992721064946724,-0.9999999999999996,SL,breakout,0.016391440333080796
HBAR_USDT,1647734400,1647820800,SHORT,0.1963155,0.214983,-1.4420524041657437,-1.0000000000000004,SL,breakout,0.015713169617274234
HBAR_USDT,1649548800,1649635200,SHORT,0.2086312857142857,0.1995392142857143,0.6390210951446111,0.3466192849168088,SL,breakout,0.0146731528759897
HBAR_USDT,1650153600,1650240000,SHORT,0.19029992857142858,0.18636532142857143,0.2952923744622685,0.19145508576195225,SL,breakout,0.014844931347095316
HBAR_USDT,1650844800,1650931200,SHORT,0.17917185714285713,0.16823664285714285,0.9009375306469526,0.709059330276504,SL,breakout,0.014542260104624212
HBAR_USDT,1651190400,1651276800,SHORT,0.16249714285714287,0.13507785714285714,2.5173210188311015,1.6425759520753114,SL,breakout,0.01373447225445722
HBAR_USDT,1651968000,1652054400,SHORT,0.12866471428571427,0.11088378571428573,2.058974104066713,0.8435261427942111,SL,breakout,0.013963531182375456
HBAR_USDT,1652140800,1652227200,SHORT,0.10302121428571429,0.0904545357142857,1.8156368253210002,0.5444413498584232,SL,breakout,0.014085139017830584
HBAR_USDT,1652572800,1652659200,SHORT,0.08168414285714284,0.10937199999999998,-5.101978959896046,-0.9999999999999998,SL,breakout,0.01754221837076264
HBAR_USDT,1654819200,1654905600,SHORT,0.08495542857142857,0.07743057142857143,1.3142769569925736,0.8297731568998103,SL,breakout,0.01433569367466638
HBAR_USDT,1654992000,1655078400,SHORT,0.07403821428571429,0.06363303571428572,2.0941232266638363,1.0325890483785216,SL,breakout,0.013945965403966098
HBAR_USDT,1655596800,1655683200,SHORT,0.059221499999999996,0.070899,-2.9742307059091737,-1.0000000000000002,SL,breakout,0.01647887591499709
HBAR_USDT,1657756800,1657843200,SHORT,0.05919778571428572,0.06538100000000001,-1.582534786532799,-1.0000000000000009,SL,breakout,0.01578337570541369
LTC_USDT,1604534400,1604620800,LONG,55.715,61.49250000000001,1.5396830970115778,0.7478964401294504,SL,breakout,0.015777730413712648
LTC_USDT,1605398400,1605484800,LONG,64.417,71.8985,1.7262544631075638,0.8216913783635363,SL,breakout,0.015871062762935248
LTC_USDT,1605657600,1605744000,LONG,75.15584615384616,81.09369230769231,1.1695140866261489,0.7527989077433197,SL,breakout,0.01559255331997306
LTC_USDT,1605830400,1605916800,LONG,84.07228571428571,85.97471428571428,0.3242575819108048,0.20713952403173133,SL,breakout,0.01516971364777929
LTC_USDT,1606089600,1606176000,LONG,89.44007142857143,91.30467857142857,0.29755702441618864,0.17506287093853704,SL,breakout,0.01515635669055337
LTC_USDT,1608076800,1608163200,LONG,92.1975,106.86125,2.369514459448465,1.401553166069294,SL,breakout,0.016192853656552507
LTC_USDT,1608249600,1608336000,LONG,110.80364285714286,120.80360714285715,1.3380644001196451,0.8295529286285659,SL,breakout,0.01567687063537751
LTC_USDT,1608854400,1608940800,LONG,125.81407142857142,129.11667857142857,0.3785516673697069,0.157935816638486,SL,breakout,0.015196874270820265
LTC_USDT,1609545600,1609632000,LONG,136.88135714285713,159.27889285714286,2.4381832618080654,1.0012149368584073,SL,breakout,0.016227205233520794
LTC_USDT,1609891200,1609977600,LONG,167.69335714285714,174.46489285714284,0.5904041193172734,0.265027047427349,SL,breakout,0.01530285348640184
LTC_USDT,1610236800,1610323200,LONG,184.37942857142858,156.18800000000002,-2.307338121079512,-0.9999999999999998,SL,breakout,0.013853257568244366
LTC_USDT,1612483200,1612569600,LONG,158.49707142857142,158.87817857142858,0.02104955465603636,0.019438220667796973,SL,breakout,0.015018033794225134
LTC_USDT,1612742400,1612828800,LONG,166.172,178.786,1.1230701622415333,0.5955618508026445,SL,breakout,0.01556931974099126
LTC_USDT,1612915200,1613001600,LONG,186.69864285714283,187.26610714285715,0.030569202718210804,0.024271726013169324,SL,breakout,0.015022795999358785
LTC_USDT,1613088000,1613174400,LONG,197.79585714285716,222.26364285714283,1.839605463533466,0.9910858432427723,SL,breakout,0.01592776661507427
LTC_USDT,1613865600,1613952000,LONG,233.70307142857143,198.707,-2.26006506348257,-1.0000000000000004,SL,breakout,0.013876905921219325
LTC_USDT,1615420800,1615507200,LONG,207.0937142857143,216.9832857142857,0.7009531623364419,0.3962848474440427,SL,breakout,0.01535815565899772
LTC_USDT,1615680000,1615766400,LONG,226.07764285714285,201.963,-1.6141797263392759,-1.0,SL,breakout,0.014200010141901313
LTC_USDT,1617321600,1617408000,LONG,207.87564285714285,213.39960714285715,0.38340182050807264,0.30800525718382304,SL,breakout,0.015199300560534304
LTC_USDT,1617580800,1617667200,LONG,220.20414285714287,239.02135714285714,1.266161569069998,0.8808673554686188,SL,breakout,0.015640901235152573
LTC_USDT,1618012800,1618099200,LONG,247.28842857142857,255.63707142857143,0.49115804693651577,0.29948753427114577,SL,breakout,0.015253205626281399
LTC_USDT,1618272000,1618358400,LONG,266.11607142857144,274.9576785714286,0.4831202164066424,0.27855414908579423,SL,breakout,0.015249184700553597
LTC_USDT,1618444800,1618531200,LONG,286.81635714285716,307.47639285714286,1.0649439353179937,0.5895227613195141,SL,breakout,0.015540242088703348
LTC_USDT,1618617600,1618704000,LONG,320.72464285714284,279.705,-1.9324921828805084,-1.0,SL,breakout,0.0140407742957076
LTC_USDT,1620000000,1620086400,LONG,292.66235714285716,316.35939285714284,1.198951160015452,0.5933848451515386,SL,breakout,0.015607279219617536
LTC_USDT,1620172800,1620259200,LONG,331.3912142857143,352.5795357142857,0.943582772637951,0.4629483968131349,SL,breakout,0.015479531151894923
LTC_USDT,1620432000,1620518400,LONG,369.26814285714283,376.6883571428571,0.2862649881406347,0.16722686370148573,SL,breakout,0.015150707847994315
LTC_USDT,1620691200,1620777600,LONG,393.59421428571426,339.681,-2.068622324315525,-1.0,SL,breakout,0.013972675175429956
PNUT_USDT,1738800000,1738886400,SHORT,0.17555600000000002,0.158563,1.437655833466245,0.4401191401191401,SL,breakout,0.014274035065734013
PNUT_USDT,1739404800,1739491200,SHORT,0.14447842857142856,0.182002,-3.9127098780935174,-1.0,SL,breakout,0.016947880998547486
PNUT_USDT,1740096000,1740182400,SHORT,0.13547207692307692,0.17264092307692308,-4.13253825085726,-1.0000000000000004,SL,breakout,0.01705774025530098
PNUT_USDT,1742688000,1742774400,LONG,0.21853178571428572,0.22819196428571428,0.6477421578913817,0.2924952689916191,SL,breakout,0.015331536847369378
PNUT_USDT,1743897600,1743984000,SHORT,0.13567857142857143,0.13164142857142858,0.4315511450381672,0.13248945147679306,SL,breakout,0.014776836009476178
PNUT_USDT,1745193600,1745280000,SHORT,0.120549,0.149814,-3.6582860289177015,-0.9999999999999998,SL,breakout,0.016820732648134783
PNUT_USDT,1746921600,1747008000,LONG,0.4304672142857143,0.4656025357142857,1.208708308173794,0.4706156149691693,SL,breakout,0.015612160234203996
PNUT_USDT,1751587200,1751673600,LONG,0.25484414285714285,0.216232,-2.286555254500089,-1.0,SL,breakout,0.013863654199849881
PNUT_USDT,1752105600,1752192000,LONG,0.25984435714285714,0.29034539285714284,1.7448487916942577,0.7898680206801509,SL,breakout,0.015880364578136196
PNUT_USDT,1752451200,1752537600,LONG,0.3049452857142857,0.259716,-2.2386778131627354,-0.9999999999999996,SL,breakout,0.013887604895866568
PNUT_USDT,1753228800,1753315200,LONG,0.32061249999999997,0.26597499999999996,-2.569961889352412,-1.0000000000000004,SL,breakout,0.013721879995321453
WIF_USDT,1733702400,1733788800,SHORT,2.86259,2.828245,0.16505812481005,0.05502683649763688,SL,breakout,0.014910015929630158
WIF_USDT,1734480000,1734566400,SHORT,2.521965714285714,2.2037542857142856,1.8785856214200252,0.5298981825102289,SL,breakout,0.01405368034911543
WIF_USDT,1736640000,1736726400,SHORT,1.9836228571428571,1.3839657142857142,0.6782741131666735,0.15000000000000002,TP1.0,breakout,0.0019099079894219525
WIF_USDT,1737072000,1737158400,SHORT,1.9836228571428571,1.9836228571428571,-0.015,-0.0,SL,breakout,0.015
WIF_USDT,1737849600,1737936000,SHORT,1.33549,1.166695,1.8818251072640009,0.5767811378780113,SL,breakout,0.01405206141566017
WIF_USDT,1738022400,1738108800,SHORT,1.0601907142857143,1.34083,-3.9875815587761494,-0.9999999999999998,SL,breakout,0.016985298130322915
WIF_USDT,1738454400,1738540800,SHORT,0.9577821428571429,0.7126303571428572,3.826286300381462,0.922428273869516,SL,breakout,0.013080316691463537
WIF_USDT,1743552000,1743638400,SHORT,0.6158421428571429,0.35997428571428575,0.9330392402563737,0.15000000000000002,TP1.0,breakout,0.001782589085329149
WIF_USDT,1745452800,1745539200,SHORT,0.6158421428571429,0.6158421428571429,-0.015000000000000003,-0.0,SL,breakout,0.015000000000000003
WIF_USDT,1748563200,1748649600,SHORT,0.9054628571428571,0.8478171428571428,0.9404428989751101,0.27574142408090757,SL,breakout,0.014522517291866512
