trades,winrate,pnl,pf,longs,shorts,avg_fee,symbol
339,0.8584070796460177,340.7038375688145,4.115739259863675,34,305,0.05238156154893629,PNUT_USDT
2263,0.8051259390190013,1295.1775908647105,3.140088609594692,585,1678,0.05236116428059153,DOGE_USDT
1970,0.8401015228426396,1223.3380448569633,3.098414549060321,260,1710,0.05231701794126653,WIF_USDT
2259,0.8131916777335104,1097.2106661541757,3.0524345605640097,564,1695,0.052384843016383756,ADA_USDT
1367,0.8368690563277249,706.3535891725278,3.0310096421793076,182,1185,0.052330746131729354,ENA_USDT
2551,0.8126225009800079,1181.208445954675,2.8778321872020034,553,1998,0.0524051360340377,HBAR_USDT
1774,0.7897406989853438,812.5730722751676,2.781494892344391,447,1327,0.05235685040367366,LTC_USDT
