trades,winrate,pnl,pf,longs,shorts,avg_fee,symbol
503,0.8250497017892644,832741.7649341859,3510.158920199442,234,269,0.12222589200918649,HBAR_USDT
460,0.8304347826086956,450950.74818432634,1848.1190394901182,259,201,0.10586627832764238,DOGE_USDT
443,0.8465011286681715,160059.89406691055,597.2253191731007,182,261,0.05209364990927639,ENA_USDT
444,0.8423423423423423,104043.71652066414,566.3080082862314,212,232,0.06542449337697535,ADA_USDT
104,0.8846153846153846,41874.78130659493,469.1955489420957,34,70,0.1446782837004537,PNUT_USDT
588,0.8401360544217688,122660.7967897614,282.81640473492587,261,327,0.06542815509318599,WIF_USDT
320,0.775,309.5281298694581,3.165995664164141,186,134,0.07353666564423905,LTC_USDT
