trades,winrate,pnl,pf,longs,shorts,avg_fee,symbol
1308,0.7331804281345565,575.7643193447983,1.7657194030809267,318,990,0.07342743324912145,ADA_USDT
1175,0.7012765957446808,601.9876989741931,1.7259341130859993,303,872,0.07331995696356666,DOGE_USDT
1064,0.7048872180451128,447.2131443519351,1.6778970610626138,234,830,0.07334066251374884,LTC_USDT
1421,0.7241379310344828,524.5637415106884,1.622928070292668,275,1146,0.07338709365898134,HBAR_USDT
0,0.0,0.0,0.0,0,0,0.0,ENA_USDT
0,0.0,0.0,0.0,0,0,0.0,WIF_USDT
0,0.0,0.0,0.0,0,0,0.0,PNUT_USDT
