trades,winrate,pnl,pf,longs,shorts,avg_fee,symbol
2400,0.9704166666666667,2457123.515657489,19255.214437477913,621,1779,-0.08528112855181688,HBAR_USDT
2186,0.9643183897529735,1686383.8026752002,11241.370594913247,612,1574,-0.07308288834214778,DOGE_USDT
524,0.9885496183206107,67423.65210277028,4361.705788027969,53,471,0.05491836646726758,PNUT_USDT
2045,0.9706601466992665,367258.9922809436,3733.364327576064,617,1428,0.040588496067808386,ADA_USDT
2198,0.9763421292083713,354035.9080389204,3089.8815200233075,272,1926,0.02682250739637991,ENA_USDT
3089,0.9779864033667853,294278.9052311219,1966.666873009576,378,2711,0.04562253659090665,WIF_USDT
1532,0.8838120104438643,1427.2934473182706,14.153185447158462,453,1079,0.07324572146749278,LTC_USDT
