symbol,side,entry,exit,qty,pnl_gross,fees,pnl_net,entry_time,exit_time,reason
HBAR_USDT,SHORT,0.30652,0.30248800000000003,68.51102701291921,0.2762364609160889,0.0147,0.2615364609160889,2022-01-03 15:00:00,2022-01-03 17:00:00,SL_HIT
DOGE_USDT,SHORT,0.17119,0.16948200000000002,122.67071674747356,0.20952158420468328,0.0147,0.1948215842046833,2022-01-03 04:00:00,2022-01-03 22:00:00,SL_HIT
LTC_USDT,SHORT,148.78,147.345,0.14114800376394676,0.20254738540126394,0.0147,0.18784738540126394,2022-01-03 15:00:00,2022-01-03 22:00:00,SL_HIT
ADA_USDT,SHORT,1.3332,1.30816,15.751575157515752,0.39441944194419365,0.0147,0.37971944194419366,2022-01-03 16:00:00,2022-01-04 03:00:00,SL_HIT
HBAR_USDT,LONG,0.31389,0.328274,66.9024180445379,0.9623243811526336,0.0147,0.9476243811526336,2022-01-04 02:00:00,2022-01-04 09:00:00,SL_HIT
DOGE_USDT,LONG,0.17206,0.16998785714285713,122.05044751830758,-0.25290596303615004,0.0147,-0.26760596303615003,2022-01-04 14:00:00,2022-01-04 18:00:00,SL_HIT
LTC_USDT,SHORT,145.99,148.34607142857143,0.14384546886773067,-0.3389101993287207,0.0147,-0.3536101993287207,2022-01-04 18:00:00,2022-01-05 03:00:00,SL_HIT
DOGE_USDT,SHORT,0.16764,0.17008500000000001,125.26843235504651,-0.3062813171080891,0.0147,-0.3209813171080891,2022-01-04 18:00:00,2022-01-05 08:00:00,SL_HIT
ADA_USDT,LONG,1.2525,1.28522,16.766467065868266,0.5485988023952111,0.014700000000000003,0.533898802395211,2022-01-06 18:00:00,2022-01-06 21:00:00,SL_HIT
HBAR_USDT,LONG,0.29509,0.29621,71.16472940458843,0.07970449693313579,0.0147,0.06500449693313579,2022-01-06 18:00:00,2022-01-06 21:00:00,SL_HIT
DOGE_USDT,LONG,0.16104,0.15801857142857142,130.40238450074517,-0.3940014903129648,0.0147,-0.40870149031296477,2022-01-06 18:00:00,2022-01-07 00:00:00,SL_HIT
LTC_USDT,LONG,137.68,134.55464285714285,0.152527600232423,-0.47670322486926386,0.0147,-0.49140322486926385,2022-01-06 18:00:00,2022-01-07 03:00:00,SL_HIT
LTC_USDT,SHORT,130.62,129.84,0.1607717041800643,0.12540192926045035,0.0147,0.11070192926045035,2022-01-07 03:00:00,2022-01-07 05:00:00,SL_HIT
ADA_USDT,LONG,1.2515,1.2309392857142858,16.779864163004394,-0.3450059928086293,0.0147,-0.3597059928086293,2022-01-08 09:00:00,2022-01-08 13:00:00,SL_HIT
DOGE_USDT,LONG,0.15739,0.1550457142857143,133.42652010928268,-0.3127898849990471,0.0147,-0.3274898849990471,2022-01-08 06:00:00,2022-01-08 14:00:00,SL_HIT
LTC_USDT,SHORT,129.76,126.47999999999999,0.1618372379778052,0.5308261405672012,0.0147,0.5161261405672012,2022-01-08 16:00:00,2022-01-08 19:00:00,SL_HIT
ADA_USDT,SHORT,1.201,1.1462,17.485428809325562,0.9582014987510401,0.0147,0.9435014987510401,2022-01-08 16:00:00,2022-01-08 21:00:00,SL_HIT
HBAR_USDT,LONG,0.2721,0.273894,77.17750826901874,0.138456449834621,0.0147,0.12375644983462099,2022-01-09 16:00:00,2022-01-09 20:00:00,SL_HIT
DOGE_USDT,LONG,0.15342,0.15078214285714286,136.8791552600704,-0.36106765741102764,0.0147,-0.37576765741102763,2022-01-09 19:00:00,2022-01-09 23:00:00,SL_HIT
LTC_USDT,LONG,132.22,129.98392857142858,0.15882619875964302,-0.3551467251550434,0.0147,-0.3698467251550434,2022-01-09 19:00:00,2022-01-10 00:00:00,SL_HIT
ADA_USDT,LONG,1.181,1.18545,17.781541066892462,0.07912785774766866,0.0147,0.06442785774766865,2022-01-11 16:00:00,2022-01-11 22:00:00,SL_HIT
HBAR_USDT,LONG,0.27006,0.274276,77.76049766718506,0.327838258164852,0.0147,0.313138258164852,2022-01-11 16:00:00,2022-01-12 00:00:00,SL_HIT
ADA_USDT,SHORT,1.2675,1.24718,16.568047337278106,0.33666272189349306,0.0147,0.32196272189349306,2022-01-13 15:00:00,2022-01-13 20:00:00,SL_HIT
DOGE_USDT,LONG,0.17807,0.195302,117.9311506710844,2.032189588364126,0.0147,2.017489588364126,2022-01-14 00:00:00,2022-01-14 08:00:00,SL_HIT
ADA_USDT,LONG,1.2983,1.3027,16.17499807440499,0.0711699915273813,0.014699999999999998,0.056469991527381296,2022-01-15 19:00:00,2022-01-15 22:00:00,SL_HIT
HBAR_USDT,SHORT,0.27101,0.267378,77.48791557507104,0.2814361093686556,0.0147,0.2667361093686556,2022-01-17 12:00:00,2022-01-17 22:00:00,SL_HIT
ADA_USDT,LONG,1.5999,1.61544,13.125820363772736,0.20397524845302684,0.0147,0.18927524845302685,2022-01-17 23:00:00,2022-01-18 02:00:00,SL_HIT
LTC_USDT,SHORT,142.76,140.304,0.14710002801905298,0.36127766881479245,0.0147,0.34657766881479246,2022-01-18 08:00:00,2022-01-18 15:00:00,SL_HIT
DOGE_USDT,SHORT,0.16489,0.162794,127.35763236096791,0.2669415974285906,0.0147,0.2522415974285906,2022-01-18 09:00:00,2022-01-18 18:00:00,SL_HIT
LTC_USDT,SHORT,136.87,134.494,0.1534302622926865,0.3645503032074239,0.0147,0.3498503032074239,2022-01-19 03:00:00,2022-01-19 09:00:00,SL_HIT
ADA_USDT,SHORT,1.4083,1.3851,14.911595540722857,0.3459490165447719,0.0147,0.3312490165447719,2022-01-19 05:00:00,2022-01-19 09:00:00,SL_HIT
DOGE_USDT,SHORT,0.15993,0.16406035714285713,131.30744700806605,-0.5423466516601015,0.0147,-0.5570466516601016,2022-01-19 07:00:00,2022-01-19 11:00:00,SL_HIT
ADA_USDT,SHORT,1.3356,1.3280999999999998,15.723270440251573,0.11792452830188778,0.0147,0.10322452830188777,2022-01-19 20:00:00,2022-01-20 01:00:00,SL_HIT
LTC_USDT,LONG,138.8,141.512,0.15129682997118155,0.4103170028818427,0.0147,0.3956170028818427,2022-01-20 03:00:00,2022-01-20 17:00:00,SL_HIT
HBAR_USDT,LONG,0.27968,0.2734014285714286,75.0858123569794,-0.47143163615560507,0.0147,-0.48613163615560506,2022-01-20 14:00:00,2022-01-20 21:00:00,SL_HIT
ADA_USDT,SHORT,1.2843,1.26286,16.35131978509694,0.3505722961924768,0.0147,0.3358722961924768,2022-01-20 21:00:00,2022-01-21 00:00:00,SL_HIT
HBAR_USDT,SHORT,0.26299,0.26063800000000004,79.85094490284801,0.18780942241149576,0.0147,0.17310942241149577,2022-01-20 22:00:00,2022-01-21 00:00:00,SL_HIT
HBAR_USDT,SHORT,0.25364,0.252332,82.79451190663934,0.10829522157388226,0.0147,0.09359522157388225,2022-01-21 01:00:00,2022-01-21 04:00:00,SL_HIT
LTC_USDT,SHORT,133.25,124.434,0.1575984990619137,1.3893883677298315,0.0147,1.3746883677298316,2022-01-20 21:00:00,2022-01-21 05:00:00,SL_HIT
HBAR_USDT,SHORT,0.24572,0.235984,85.46312876444735,0.8320690216506589,0.0147,0.8173690216506588,2022-01-21 12:00:00,2022-01-22 00:00:00,SL_HIT
ADA_USDT,SHORT,1.1866,1.13348,17.697623461992244,0.9400977583010289,0.014699999999999998,0.9253977583010289,2022-01-21 12:00:00,2022-01-22 01:00:00,SL_HIT
HBAR_USDT,SHORT,0.21596,0.214958,97.2402296721615,0.0974347101315061,0.0147,0.0827347101315061,2022-01-23 18:00:00,2022-01-23 20:00:00,SL_HIT
LTC_USDT,LONG,112.18,108.92178571428572,0.1871991442324835,-0.6099349260117672,0.0147,-0.6246349260117673,2022-01-23 23:00:00,2022-01-24 01:00:00,SL_HIT
ADA_USDT,SHORT,1.0299,0.97918,20.390329158170694,1.0341974949024173,0.0147,1.0194974949024174,2022-01-24 07:00:00,2022-01-24 11:00:00,SL_HIT
LTC_USDT,SHORT,105.53,99.938,0.19899554629015445,1.1127830948545434,0.0147,1.0980830948545435,2022-01-24 07:00:00,2022-01-24 11:00:00,SL_HIT
DOGE_USDT,SHORT,0.13437,0.128626,156.28488501897746,0.8977003795490064,0.0147,0.8830003795490063,2022-01-24 07:00:00,2022-01-24 11:00:00,SL_HIT
