trades,winrate,pnl,pf,longs,shorts,avg_fee,symbol
82,0.7926829268292683,247.6047368660945,3.1568847313169592,30,52,0.07406476939688171,PNUT_USDT
1308,0.7331804281345565,575.7643193447983,1.7657194030809267,318,990,0.07342743324912145,ADA_USDT
1175,0.7012765957446808,601.9876989741931,1.7259341130859993,303,872,0.07331995696356666,DOGE_USDT
1064,0.7048872180451128,447.2131443519351,1.6778970610626138,234,830,0.07334066251374884,LTC_USDT
395,0.7240506329113924,269.03815025593485,1.6494448146069463,163,232,0.07349356535847178,ENA_USDT
1421,0.7241379310344828,524.5637415106884,1.622928070292668,275,1146,0.07338709365898134,HBAR_USDT
389,0.6786632390745502,183.6343756849875,1.367346617936814,139,250,0.07338728265132054,WIF_USDT
