trades,winrate,pnl,pf,avg_win,avg_loss,max_win,max_loss,avg_R,max_R,min_R,breakout_trades,micro_trades,trend_trades,squeeze_trades,sl_init_exits,trail_exits,be_exits,symbol
24,0.8333333333333334,143.74885644558077,3.806719902888426,9.748240860901404,-12.80399019311183,29.129400506834656,-18.662068551778535,0.5343644326027542,2.4207740622061547,-1.0000000000000004,19,5,0,0,4,20,0,ADA_USDT
33,0.8181818181818182,74.99651256926815,2.07323317967167,5.365761491929536,-11.64650795213822,12.995295845759937,-15.56173949731211,0.2826932834554412,1.3402672545667218,-1.0000000000000002,27,6,0,0,6,27,0,LTC_USDT
17,0.7058823529411765,-0.28637323825334526,0.9962858936119618,6.4014863821768175,-15.420841964875033,23.163177394975747,-35.60108576872664,0.036738619033000235,1.6989952806756088,-1.0,12,5,0,0,5,12,0,DOGE_USDT
20,0.65,-25.40426995529218,0.7862513164668001,7.188219061052335,-16.97873110699608,20.37447445854163,-22.455710069706033,-0.06878336530461651,0.9857616072028493,-1.0000000000000004,14,6,0,0,7,13,0,WIF_USDT
27,0.6666666666666666,-25.619883690048177,0.7854126580594297,5.209528816824773,-13.265711376988232,13.056816130146673,-25.39545900209132,0.03812704818122158,1.7059092854086448,-1.0000000000000009,19,8,0,0,8,19,0,HBAR_USDT
22,0.6363636363636364,-60.26184158324305,0.5305093706679497,4.863853604049452,-16.04447400499192,10.959830595296701,-20.592616243710953,-0.14074603446962744,0.7794553376906322,-1.0000000000000004,14,8,0,0,8,14,0,ENA_USDT
19,0.47368421052631576,-99.75500444122038,0.33056168573119976,5.473109442043639,-14.901298941961311,9.448657203440966,-24.63590571510285,-0.33020798507999416,0.8532013540134842,-1.0000000000000004,11,8,0,0,10,9,0,PNUT_USDT
