timestamp,y_long,y_short,weights
1970-01-01 00:26:49.729200,0,1,2.0
1970-01-01 00:26:49.732800,0,1,2.0
1970-01-01 00:26:49.830000,1,0,2.0
1970-01-01 00:26:49.891200,1,0,2.0
1970-01-01 00:26:49.894800,1,0,2.0
1970-01-01 00:26:49.898400,1,0,2.0
1970-01-01 00:26:50.020800,0,1,2.0
1970-01-01 00:26:50.024400,0,1,2.0
1970-01-01 00:26:50.028000,0,1,2.0
1970-01-01 00:26:50.031600,0,1,2.0
1970-01-01 00:26:50.035200,0,1,2.0
1970-01-01 00:26:50.038800,0,1,2.0
1970-01-01 00:26:50.121600,1,0,2.0
1970-01-01 00:26:50.125200,1,0,2.0
1970-01-01 00:26:50.128800,1,0,2.0
1970-01-01 00:26:50.132400,1,0,2.0
1970-01-01 00:26:50.136000,1,0,2.0
1970-01-01 00:26:50.139600,1,0,2.0
1970-01-01 00:26:50.168400,1,0,2.0
1970-01-01 00:26:50.258400,0,1,2.0
1970-01-01 00:26:50.262000,0,1,2.0
1970-01-01 00:26:50.265600,0,1,2.0
1970-01-01 00:26:50.269200,0,1,2.0
1970-01-01 00:26:50.316000,0,1,2.0
1970-01-01 00:26:50.319600,0,1,2.0
1970-01-01 00:26:50.323200,0,1,2.0
1970-01-01 00:26:50.326800,0,1,2.0
1970-01-01 00:26:50.330400,0,1,2.0
1970-01-01 00:26:50.334000,0,1,2.0
1970-01-01 00:26:50.344800,1,0,2.0
1970-01-01 00:26:50.355600,0,1,2.0
1970-01-01 00:26:50.359200,0,1,2.0
1970-01-01 00:26:50.362800,0,1,2.0
1970-01-01 00:26:50.366400,0,1,2.0
1970-01-01 00:26:50.370000,0,1,2.0
1970-01-01 00:26:50.434800,0,1,2.0
1970-01-01 00:26:50.557200,1,0,2.0
1970-01-01 00:26:50.560800,1,0,2.0
1970-01-01 00:26:50.564400,1,0,2.0
1970-01-01 00:26:50.611200,1,0,2.0
1970-01-01 00:26:50.614800,1,0,2.0
1970-01-01 00:26:50.618400,1,0,2.0
1970-01-01 00:26:50.622000,1,0,2.0
1970-01-01 00:26:50.625600,1,0,2.0
1970-01-01 00:26:50.629200,1,0,2.0
1970-01-01 00:26:50.701200,0,1,2.0
1970-01-01 00:26:50.704800,0,1,2.0
1970-01-01 00:26:50.708400,0,1,2.0
1970-01-01 00:26:50.712000,0,1,2.0
1970-01-01 00:26:50.715600,0,1,2.0
1970-01-01 00:26:50.852400,0,1,2.0
1970-01-01 00:26:51.014400,1,0,2.0
1970-01-01 00:26:51.018000,1,0,2.0
1970-01-01 00:26:51.021600,1,0,2.0
1970-01-01 00:26:51.025200,1,0,2.0
1970-01-01 00:26:51.028800,1,0,2.0
1970-01-01 00:26:51.032400,1,0,2.0
1970-01-01 00:26:51.036000,0,1,2.0
1970-01-01 00:26:51.118800,0,1,2.0
1970-01-01 00:26:51.126000,0,1,2.0
1970-01-01 00:26:51.205200,0,1,2.0
1970-01-01 00:26:51.208800,0,1,2.0
1970-01-01 00:26:51.212400,0,1,2.0
1970-01-01 00:26:51.216000,0,1,2.0
1970-01-01 00:26:51.223200,0,1,2.0
1970-01-01 00:26:51.252000,0,1,2.0
1970-01-01 00:26:51.255600,0,1,2.0
1970-01-01 00:26:51.259200,0,1,2.0
1970-01-01 00:26:51.262800,0,1,2.0
1970-01-01 00:26:51.273600,1,0,2.0
1970-01-01 00:26:51.360000,1,0,2.0
1970-01-01 00:26:51.367200,1,0,2.0
1970-01-01 00:26:51.378000,0,1,2.0
1970-01-01 00:26:51.385200,0,1,2.0
1970-01-01 00:26:51.388800,0,1,2.0
1970-01-01 00:26:51.464400,1,0,2.0
1970-01-01 00:26:51.468000,1,0,2.0
1970-01-01 00:26:51.471600,1,0,2.0
1970-01-01 00:26:51.475200,1,0,2.0
1970-01-01 00:26:51.478800,1,0,2.0
1970-01-01 00:26:51.486000,0,1,2.0
1970-01-01 00:26:51.586800,0,1,2.0
1970-01-01 00:26:51.655200,0,1,2.0
1970-01-01 00:26:51.727200,0,1,2.0
1970-01-01 00:26:51.730800,0,1,2.0
1970-01-01 00:26:51.734400,0,1,2.0
1970-01-01 00:26:51.738000,0,1,2.0
1970-01-01 00:26:51.741600,0,1,2.0
1970-01-01 00:26:51.745200,0,1,2.0
1970-01-01 00:26:51.748800,0,1,2.0
1970-01-01 00:26:51.752400,0,1,2.0
1970-01-01 00:26:51.756000,1,0,2.0
1970-01-01 00:26:51.784800,1,0,2.0
1970-01-01 00:26:51.788400,1,0,2.0
1970-01-01 00:26:51.792000,1,0,2.0
1970-01-01 00:26:51.795600,1,0,2.0
1970-01-01 00:26:51.799200,1,0,2.0
1970-01-01 00:26:51.802800,1,0,2.0
1970-01-01 00:26:51.806400,0,0,2.0
1970-01-01 00:26:51.810000,0,1,2.0
1970-01-01 00:26:51.813600,1,0,2.0
1970-01-01 00:26:51.817200,1,0,2.0
1970-01-01 00:26:51.820800,1,0,2.0
1970-01-01 00:26:51.824400,1,0,2.0
1970-01-01 00:26:51.828000,1,0,2.0
1970-01-01 00:26:51.831600,1,0,2.0
1970-01-01 00:26:51.835200,1,0,2.0
1970-01-01 00:26:51.838800,1,0,2.0
1970-01-01 00:26:51.842400,1,0,2.0
1970-01-01 00:26:51.846000,1,0,2.0
1970-01-01 00:26:51.849600,1,0,2.0
1970-01-01 00:26:51.853200,1,0,2.0
1970-01-01 00:26:51.856800,1,0,2.0
1970-01-01 00:26:51.860400,1,0,2.0
1970-01-01 00:26:51.864000,1,0,2.0
1970-01-01 00:26:51.867600,1,0,2.0
1970-01-01 00:26:51.871200,1,0,2.0
1970-01-01 00:26:51.874800,1,0,2.0
1970-01-01 00:26:51.878400,1,0,2.0
1970-01-01 00:26:51.882000,1,0,2.0
1970-01-01 00:26:51.885600,1,0,2.0
1970-01-01 00:26:51.889200,0,1,2.0
1970-01-01 00:26:51.892800,0,1,2.0
1970-01-01 00:26:51.896400,0,1,2.0
1970-01-01 00:26:52.090800,1,0,2.0
1970-01-01 00:26:52.094400,1,0,2.0
1970-01-01 00:26:52.098000,1,0,2.0
1970-01-01 00:26:52.101600,1,0,2.0
1970-01-01 00:26:52.105200,1,0,2.0
1970-01-01 00:26:52.108800,1,0,2.0
1970-01-01 00:26:52.112400,1,0,2.0
1970-01-01 00:26:52.206000,0,1,2.0
1970-01-01 00:26:52.209600,0,1,2.0
1970-01-01 00:26:52.213200,0,1,2.0
1970-01-01 00:26:52.299600,1,0,2.0
1970-01-01 00:26:52.360800,1,0,2.0
