timestamp,y_long,y_short,weights
2024-04-05 11:00:00,1,0,1.0
2024-04-06 01:00:00,1,0,1.0
2024-04-06 02:00:00,1,0,1.0
2024-04-06 03:00:00,1,0,1.0
2024-04-06 04:00:00,1,0,1.0
2024-04-07 00:00:00,1,0,1.0
2024-04-07 01:00:00,1,0,1.0
2024-04-07 02:00:00,1,0,1.0
2024-04-07 03:00:00,1,0,1.0
2024-04-08 06:00:00,1,0,1.0
2024-04-08 07:00:00,1,0,1.0
2024-04-08 08:00:00,1,0,1.0
2024-04-08 09:00:00,1,0,1.0
2024-04-08 10:00:00,1,0,1.0
2024-04-08 11:00:00,1,0,1.0
2024-04-09 03:00:00,0,1,1.0
2024-04-09 05:00:00,0,1,1.0
2024-04-09 06:00:00,0,1,1.0
2024-04-09 22:00:00,1,0,1.0
2024-04-09 23:00:00,1,0,1.0
2024-04-10 00:00:00,1,0,1.0
2024-04-10 02:00:00,1,0,1.0
2024-04-10 03:00:00,1,0,1.0
2024-04-11 07:00:00,1,0,1.0
2024-04-11 23:00:00,1,0,1.0
2024-04-12 07:00:00,0,1,1.0
2024-04-12 08:00:00,0,1,1.0
2024-04-12 09:00:00,0,1,1.0
2024-04-12 10:00:00,0,1,1.0
2024-04-12 11:00:00,0,1,1.0
2024-04-12 12:00:00,0,1,1.0
2024-04-12 13:00:00,0,1,1.0
2024-04-13 11:00:00,0,1,1.0
2024-04-13 12:00:00,0,1,1.0
2024-04-13 13:00:00,0,1,1.0
2024-04-13 14:00:00,0,1,1.0
2024-04-13 15:00:00,0,1,1.0
2024-04-13 16:00:00,0,1,1.0
2024-04-15 12:00:00,0,1,1.0
2024-04-15 13:00:00,0,1,1.0
2024-04-15 14:00:00,0,1,1.0
2024-04-15 15:00:00,0,1,1.0
2024-04-16 08:00:00,0,1,1.0
2024-04-16 09:00:00,0,1,1.0
2024-04-16 10:00:00,0,1,1.0
2024-04-16 11:00:00,0,1,1.0
2024-04-18 00:00:00,0,1,1.0
2024-04-18 01:00:00,0,1,1.0
2024-04-18 02:00:00,0,1,1.0
2024-04-18 03:00:00,0,1,1.0
2024-04-18 04:00:00,0,1,1.0
2024-04-18 08:00:00,1,0,1.0
2024-04-18 20:00:00,0,1,1.0
2024-04-18 21:00:00,0,1,1.0
2024-04-18 22:00:00,0,1,1.0
2024-04-18 23:00:00,0,1,1.0
2024-04-19 00:00:00,0,0,1.0
2024-04-19 01:00:00,1,0,1.0
2024-04-19 02:00:00,1,0,1.0
2024-04-19 03:00:00,1,0,1.0
2024-04-19 04:00:00,1,0,1.0
2024-04-19 05:00:00,1,0,1.0
2024-04-19 06:00:00,1,0,1.0
2024-04-19 07:00:00,1,0,1.0
2024-04-20 00:00:00,1,0,1.0
2024-04-20 11:00:00,1,0,1.0
2024-04-20 12:00:00,1,0,1.0
2024-04-20 13:00:00,1,0,1.0
2024-04-20 14:00:00,1,0,1.0
2024-04-20 15:00:00,1,0,1.0
2024-04-20 16:00:00,1,0,1.0
2024-04-21 11:00:00,0,1,1.0
2024-04-22 01:00:00,1,0,1.0
2024-04-22 21:00:00,0,1,1.0
2024-04-22 22:00:00,0,1,1.0
2024-04-22 23:00:00,0,1,1.0
2024-04-23 00:00:00,0,1,1.0
2024-04-23 01:00:00,0,1,1.0
2024-04-23 02:00:00,0,1,1.0
2024-04-24 10:00:00,0,1,1.0
2024-04-24 11:00:00,0,1,1.0
2024-04-24 12:00:00,0,1,1.0
2024-04-24 19:00:00,0,1,1.0
2024-04-25 09:00:00,1,0,1.0
2024-04-25 10:00:00,1,0,1.0
2024-04-25 12:00:00,1,0,1.0
2024-04-26 19:00:00,0,1,1.0
2024-04-26 20:00:00,0,1,1.0
2024-04-26 21:00:00,0,1,1.0
2024-04-28 18:00:00,0,1,1.0
2024-04-28 19:00:00,0,1,1.0
2024-04-28 20:00:00,0,1,1.0
2024-04-28 21:00:00,0,1,1.0
2024-04-28 22:00:00,0,1,1.0
2024-04-29 00:00:00,0,1,1.0
2024-04-29 01:00:00,0,1,1.0
2024-04-29 08:00:00,1,0,1.0
2024-04-29 09:00:00,1,0,1.0
2024-04-29 10:00:00,1,0,1.0
2024-04-29 11:00:00,1,0,1.0
2024-04-29 12:00:00,1,0,1.0
2024-04-29 13:00:00,1,0,1.0
2024-04-29 14:00:00,1,0,1.0
2024-04-29 16:00:00,1,0,1.0
2024-04-30 05:00:00,0,1,1.0
2024-04-30 06:00:00,0,1,1.0
2024-04-30 07:00:00,0,1,1.0
2024-05-01 01:00:00,0,1,1.0
